QUERY_ID	WAREHOUSE_NAME	QUERY_TAG	RUNTIME_SECONDS	RUNTIME_MINUTES	CREDITS_USED	COST_USD	START_TIME	EXECUTION_STATUS
01bf16cd-0000-337b-002c-770b00147196	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.007000	0.00	0.000004	0.000012	2025-09-16 05:29:37.447 -0700	SUCCESS
01bf16cd-0000-337b-002c-770b00147192	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.250000	0.00	0.000034	0.000102	2025-09-16 05:29:36.902 -0700	SUCCESS
01bf16cd-0000-3370-002c-770b00142276	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.002000	0.00	0.000005	0.000015	2025-09-16 05:29:36.010 -0700	SUCCESS
01bf16cb-0000-3376-002c-770b0014525a	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.243000	0.00	0.000038	0.000114	2025-09-16 05:27:17.502 -0700	SUCCESS
01bf16cb-0000-3351-002c-770b001417ce	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.011000	0.00	0.000031	0.000093	2025-09-16 05:27:16.485 -0700	SUCCESS
01bf16ca-0000-333c-002c-770b001392de	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	52.867000	0.88	0.000304	0.000912	2025-09-16 05:26:17.276 -0700	SUCCESS
01bf16ca-0000-336f-002c-770b00143256	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.002000	0.00	0.000009	0.000027	2025-09-16 05:26:16.031 -0700	SUCCESS
01bf16c7-0000-3376-002c-770b00145252	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	164.909000	2.75	0.000201	0.000603	2025-09-16 05:23:27.848 -0700	SUCCESS
01bf16c7-0000-333c-002c-770b001392da	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.004000	0.00	0.000000	0.000000	2025-09-16 05:23:27.794 -0700	SUCCESS
01bf16c7-0000-3370-002c-770b00142262	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.165000	0.00	0.000032	0.000096	2025-09-16 05:23:27.036 -0700	SUCCESS
01bf16c7-0000-3364-002c-770b0013e2ca	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.028000	0.00	0.000054	0.000162	2025-09-16 05:23:26.109 -0700	SUCCESS
01bf16c7-0000-3351-002c-770b001417ca	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.253000	0.00	0.000052	0.000156	2025-09-16 05:23:25.012 -0700	SUCCESS
01bf16c7-0000-3361-002c-770b0013a276	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.001000	0.00	0.000005	0.000015	2025-09-16 05:23:24.241 -0700	SUCCESS
01bf16c7-0000-3361-002c-770b0013a272	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.012000	0.00	0.000005	0.000015	2025-09-16 05:23:23.623 -0700	SUCCESS
01bf16c7-0000-3351-002c-770b001417c2	X_SMALL_2_GEN	POC_ETL_2_2025-09-16_05:21:03	0.010000	0.00	0.000005	0.000015	2025-09-16 05:23:22.185 -0700	SUCCESS
